FI Imobiliario CEO Cyrela Commercial Properties,15.799.397/0001-09,Encontrado
Fundo de Investimento Imobiliario FII Cenesp,04.947.601/0001-67,Encontrado
MRS Logistica SA Class B,01.417.222/0001-77,Encontrado
FII Capitania Securities II,18.979.895/0001-13,Encontrado
FII CAIXA CEDAE,10.991.914/0001-15,Encontrado
Multigestao Renda Comercial Fundo de Investimento Imobiliario FII,10.456.810/0001-00,Encontrado
Fundo de Investimento Imobiliario Edificio Ourinvest,,Não Encontrado
FI Imobiliario BM Edificio Galeria,15.333.306/0001-37,Encontrado
Companhia Energetica do Maranhao CEMAR,06.272.793/0001-84,Encontrado
FII Anhanguera Educacional,59.281.253/0001-23,Encontrado
Fundo de Investimento Imobiliario FII Edificio Almirante Barroso,05.562.312/0001-02,Encontrado
FI Imobiliario Campus Faria Lima,,Não Encontrado
Fundo de Investimento Imobiliario Excellence,09.552.812/0001-14,Encontrado
RB Capital Holding SA,,Não Encontrado
Floripa Shopping FII,10.375.382/0001-91,Encontrado
